dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,10,lr,pre,RW,-0.087,0.17,0.08,-0.095,-0.128,-0.08,-0.158,-0.102,-0.068,0.844,0.772,0.805,0.752,0.042324,6.6875
adult,10,rf,pre,RW,-0.194,-0.096,-0.088,-0.104,-0.086,-0.065,-0.249,-0.284,-0.191,0.855,0.796,0.813,0.783,1.211806,62498.6552734375
adult,10,svm,pre,RW,-0.073,0.2,0.099,-0.088,-0.108,-0.068,-0.138,-0.034,-0.027,0.843,0.769,0.806,0.747,0.227979,6.5751953125
adult,10,xgb,pre,RW,-0.119,0.092,0.039,-0.091,-0.087,-0.056,-0.18,-0.092,-0.062,0.868,0.812,0.836,0.795,0.188439,253.3486328125
adult,11,lr,pre,RW,-0.094,0.149,0.067,-0.084,-0.05,-0.039,-0.142,0.077,0.021,0.844,0.774,0.807,0.754,0.043757,6.6875
adult,11,rf,pre,RW,-0.197,-0.117,-0.1,-0.094,-0.043,-0.039,-0.237,-0.242,-0.167,0.854,0.795,0.815,0.781,1.209739,62316.1552734375
adult,11,svm,pre,RW,-0.078,0.182,0.088,-0.079,-0.043,-0.034,-0.125,0.12,0.048,0.841,0.768,0.806,0.747,0.230677,6.5751953125
adult,11,xgb,pre,RW,-0.118,0.095,0.039,-0.08,-0.024,-0.021,-0.169,-0.069,-0.049,0.869,0.813,0.845,0.792,0.191245,265.03515625
adult,12,lr,pre,RW,-0.091,0.159,0.073,-0.087,-0.072,-0.051,-0.146,0.049,0.006,0.842,0.772,0.804,0.752,0.044647,6.6875
adult,12,rf,pre,RW,-0.187,-0.084,-0.082,-0.099,-0.056,-0.05,-0.244,-0.221,-0.163,0.848,0.787,0.805,0.773,1.210689,62012.5615234375
adult,12,svm,pre,RW,-0.071,0.201,0.1,-0.081,-0.054,-0.042,-0.13,0.078,0.026,0.84,0.766,0.804,0.744,0.183469,6.5751953125
adult,12,xgb,pre,RW,-0.118,0.106,0.042,-0.085,-0.053,-0.039,-0.169,-0.034,-0.035,0.863,0.804,0.832,0.785,0.184982,267.16015625
adult,13,lr,pre,RW,-0.086,0.143,0.066,-0.086,-0.075,-0.057,-0.139,0.057,0.009,0.837,0.762,0.794,0.743,0.039889,6.6875
adult,13,rf,pre,RW,-0.179,-0.111,-0.089,-0.083,-0.027,-0.034,-0.222,-0.19,-0.14,0.851,0.788,0.812,0.772,1.223168,61292.4052734375
adult,13,svm,pre,RW,-0.066,0.183,0.093,-0.077,-0.066,-0.05,-0.119,0.089,0.032,0.834,0.754,0.792,0.732,0.181038,6.5751953125
adult,13,xgb,pre,RW,-0.111,0.074,0.033,-0.072,-0.015,-0.021,-0.163,-0.038,-0.035,0.864,0.805,0.834,0.786,0.1919,261.515625
adult,14,lr,pre,RW,-0.08,0.174,0.084,-0.074,-0.034,-0.025,-0.125,0.024,0.005,0.839,0.766,0.797,0.747,0.040356,6.6875
adult,14,rf,pre,RW,-0.187,-0.071,-0.075,-0.096,-0.037,-0.035,-0.239,-0.233,-0.165,0.852,0.793,0.81,0.78,1.223944,62590.9990234375
adult,14,svm,pre,RW,-0.062,0.211,0.108,-0.065,-0.024,-0.016,-0.102,0.055,0.029,0.837,0.76,0.799,0.738,0.186374,6.5751953125
adult,14,xgb,pre,RW,-0.109,0.108,0.048,-0.082,-0.026,-0.021,-0.157,-0.046,-0.034,0.862,0.802,0.83,0.783,0.183868,256.13671875
adult,15,lr,pre,RW,-0.097,0.115,0.051,-0.093,-0.173,-0.095,-0.142,0.042,0.012,0.845,0.773,0.815,0.75,0.040988,6.6875
adult,15,rf,pre,RW,-0.201,-0.118,-0.102,-0.116,-0.121,-0.085,-0.247,-0.184,-0.142,0.847,0.789,0.806,0.776,1.234075,61654.1240234375
adult,15,svm,pre,RW,-0.082,0.151,0.074,-0.084,-0.148,-0.08,-0.127,0.063,0.028,0.843,0.768,0.815,0.744,0.200282,6.5751953125
adult,15,xgb,pre,RW,-0.129,0.061,0.018,-0.104,-0.151,-0.089,-0.183,-0.109,-0.07,0.862,0.805,0.834,0.786,0.188766,255.341796875
adult,16,lr,pre,RW,-0.078,0.16,0.075,-0.092,-0.092,-0.062,-0.142,0.006,-0.015,0.842,0.769,0.801,0.749,0.039351,6.6875
adult,16,rf,pre,RW,-0.187,-0.092,-0.088,-0.112,-0.081,-0.065,-0.24,-0.205,-0.156,0.852,0.791,0.807,0.779,1.199343,62026.4677734375
adult,16,svm,pre,RW,-0.063,0.187,0.094,-0.086,-0.088,-0.057,-0.125,0.024,0.001,0.841,0.764,0.801,0.743,0.211935,6.5751953125
adult,16,xgb,pre,RW,-0.106,0.095,0.041,-0.1,-0.099,-0.064,-0.168,-0.042,-0.039,0.868,0.81,0.837,0.792,0.188325,257.3330078125
adult,17,lr,pre,RW,-0.081,0.187,0.085,-0.078,-0.051,-0.042,-0.141,0.055,0.009,0.839,0.762,0.795,0.742,0.042442,6.6875
adult,17,rf,pre,RW,-0.185,-0.061,-0.071,-0.096,-0.026,-0.039,-0.241,-0.256,-0.177,0.855,0.795,0.813,0.782,1.201611,62293.0302734375
adult,17,svm,pre,RW,-0.063,0.239,0.117,-0.074,-0.045,-0.038,-0.123,0.105,0.04,0.838,0.759,0.796,0.737,0.23478,6.5751953125
adult,17,xgb,pre,RW,-0.108,0.142,0.062,-0.096,-0.073,-0.057,-0.185,-0.064,-0.056,0.867,0.808,0.834,0.789,0.185099,266.4287109375
adult,18,lr,pre,RW,-0.079,0.171,0.083,-0.076,-0.051,-0.036,-0.126,0.122,0.052,0.833,0.758,0.791,0.738,0.044697,6.6875
adult,18,rf,pre,RW,-0.193,-0.096,-0.089,-0.101,-0.025,-0.037,-0.236,-0.071,-0.086,0.846,0.785,0.803,0.772,1.184125,61343.9677734375
adult,18,svm,pre,RW,-0.061,0.203,0.104,-0.072,-0.041,-0.031,-0.107,0.151,0.073,0.829,0.749,0.789,0.728,0.473346,6.5751953125
adult,18,xgb,pre,RW,-0.104,0.125,0.058,-0.081,-0.044,-0.031,-0.156,0.043,0.012,0.858,0.798,0.826,0.779,0.191001,258.92578125
adult,19,lr,pre,RW,-0.091,0.15,0.066,-0.077,-0.061,-0.036,-0.142,0.135,0.055,0.841,0.764,0.8,0.742,0.04179,6.6875
adult,19,rf,pre,RW,-0.198,-0.117,-0.103,-0.123,-0.123,-0.084,-0.248,-0.182,-0.141,0.853,0.79,0.81,0.775,1.22812,62322.0927734375
adult,19,svm,pre,RW,-0.073,0.2,0.096,-0.078,-0.065,-0.04,-0.129,0.161,0.071,0.84,0.759,0.803,0.736,0.381599,6.5751953125
adult,19,xgb,pre,RW,-0.121,0.077,0.029,-0.103,-0.122,-0.071,-0.182,-0.03,-0.03,0.869,0.809,0.84,0.789,0.189074,259.5263671875
adult,20,lr,pre,RW,-0.086,0.167,0.079,-0.086,-0.005,-0.019,-0.145,0.112,0.039,0.839,0.768,0.797,0.75,0.041729,6.6875
adult,20,rf,pre,RW,-0.19,-0.099,-0.088,-0.097,-0.004,-0.022,-0.234,-0.128,-0.11,0.852,0.793,0.814,0.777,1.204128,62181.7802734375
adult,20,svm,pre,RW,-0.062,0.212,0.109,-0.075,0.017,-0.006,-0.117,0.175,0.08,0.834,0.758,0.794,0.737,0.237961,6.5751953125
adult,20,xgb,pre,RW,-0.108,0.133,0.06,-0.08,-0.008,-0.012,-0.163,0.097,0.033,0.86,0.802,0.828,0.784,0.185868,254.4775390625
adult,21,lr,pre,RW,-0.07,0.205,0.1,-0.079,-0.057,-0.041,-0.121,0.129,0.053,0.841,0.765,0.799,0.744,0.04062,6.6875
adult,21,rf,pre,RW,-0.178,-0.051,-0.064,-0.099,-0.033,-0.04,-0.224,-0.095,-0.096,0.853,0.791,0.809,0.778,1.206581,61778.6552734375
adult,21,svm,pre,RW,-0.059,0.229,0.115,-0.073,-0.052,-0.036,-0.107,0.148,0.068,0.84,0.761,0.8,0.739,0.429372,6.5751953125
adult,21,xgb,pre,RW,-0.109,0.129,0.053,-0.086,-0.054,-0.039,-0.157,0.071,0.017,0.862,0.8,0.826,0.782,0.187873,264.96875
adult,22,lr,pre,RW,-0.09,0.141,0.061,-0.089,-0.06,-0.043,-0.146,0.042,0.003,0.841,0.77,0.803,0.75,0.04113,6.6875
adult,22,rf,pre,RW,-0.186,-0.064,-0.076,-0.102,-0.049,-0.044,-0.235,-0.175,-0.139,0.848,0.786,0.806,0.772,1.200097,61625.9990234375
adult,22,svm,pre,RW,-0.071,0.185,0.088,-0.082,-0.038,-0.032,-0.127,0.077,0.025,0.838,0.761,0.802,0.739,0.485816,6.5751953125
adult,22,xgb,pre,RW,-0.112,0.092,0.037,-0.088,-0.035,-0.028,-0.169,-0.023,-0.03,0.862,0.804,0.833,0.784,0.189026,260.9833984375
adult,23,lr,pre,RW,-0.083,0.179,0.086,-0.076,-0.016,-0.018,-0.126,0.21,0.093,0.836,0.759,0.792,0.739,0.038312,6.6875
adult,23,rf,pre,RW,-0.199,-0.086,-0.088,-0.098,-0.008,-0.023,-0.242,-0.102,-0.105,0.846,0.782,0.8,0.769,1.226592,62031.7802734375
adult,23,svm,pre,RW,-0.069,0.209,0.106,-0.072,-0.011,-0.014,-0.113,0.23,0.108,0.834,0.754,0.793,0.733,0.479945,6.5751953125
adult,23,xgb,pre,RW,-0.116,0.126,0.053,-0.084,0.002,-0.01,-0.165,0.088,0.027,0.859,0.796,0.825,0.777,0.19022,258.9951171875
adult,24,lr,pre,RW,-0.082,0.201,0.094,-0.088,-0.064,-0.048,-0.143,0.107,0.031,0.842,0.766,0.804,0.743,0.043329,6.6875
adult,24,rf,pre,RW,-0.195,-0.073,-0.081,-0.107,-0.079,-0.062,-0.241,-0.152,-0.131,0.849,0.787,0.804,0.774,1.218515,62216.3115234375
adult,24,svm,pre,RW,-0.063,0.245,0.123,-0.081,-0.053,-0.041,-0.122,0.154,0.062,0.84,0.759,0.804,0.736,0.184916,6.5751953125
adult,24,xgb,pre,RW,-0.105,0.138,0.063,-0.092,-0.062,-0.046,-0.163,0.053,0.006,0.861,0.798,0.829,0.778,0.185029,264.505859375
adult,25,lr,pre,RW,-0.079,0.177,0.084,-0.078,-0.016,-0.021,-0.133,0.042,0.006,0.842,0.768,0.799,0.748,0.040682,6.6875
adult,25,rf,pre,RW,-0.183,-0.056,-0.068,-0.101,-0.04,-0.04,-0.231,-0.209,-0.152,0.854,0.794,0.81,0.782,1.215298,62074.9052734375
adult,25,svm,pre,RW,-0.06,0.199,0.102,-0.069,-0.0,-0.01,-0.112,0.071,0.029,0.84,0.761,0.8,0.739,0.190111,6.5751953125
adult,25,xgb,pre,RW,-0.11,0.108,0.047,-0.088,-0.034,-0.029,-0.164,-0.084,-0.056,0.866,0.808,0.832,0.79,0.187081,255.2744140625
adult,26,lr,pre,RW,-0.089,0.144,0.069,-0.086,-0.058,-0.044,-0.137,0.146,0.06,0.845,0.775,0.8,0.758,0.043647,6.6875
adult,26,rf,pre,RW,-0.187,-0.074,-0.073,-0.105,-0.068,-0.056,-0.239,-0.19,-0.141,0.861,0.805,0.817,0.794,1.218118,62824.4365234375
adult,26,svm,pre,RW,-0.072,0.183,0.094,-0.078,-0.054,-0.038,-0.118,0.17,0.079,0.844,0.77,0.801,0.751,0.197048,6.5751953125
adult,26,xgb,pre,RW,-0.122,0.096,0.039,-0.082,-0.014,-0.02,-0.175,0.076,0.017,0.867,0.811,0.83,0.796,0.18766,267.626953125
adult,27,lr,pre,RW,-0.083,0.19,0.089,-0.07,-0.047,-0.035,-0.126,0.129,0.049,0.846,0.775,0.807,0.755,0.043893,6.6875
adult,27,rf,pre,RW,-0.188,-0.083,-0.082,-0.087,-0.05,-0.044,-0.225,-0.128,-0.114,0.851,0.79,0.807,0.778,1.223731,61786.3115234375
adult,27,svm,pre,RW,-0.066,0.223,0.111,-0.062,-0.027,-0.023,-0.107,0.178,0.079,0.844,0.769,0.809,0.746,0.262318,6.5751953125
adult,27,xgb,pre,RW,-0.107,0.128,0.056,-0.076,-0.054,-0.039,-0.153,0.087,0.024,0.863,0.803,0.832,0.784,0.186339,253.548828125
adult,28,lr,pre,RW,-0.08,0.196,0.094,-0.076,-0.062,-0.042,-0.142,0.121,0.047,0.841,0.769,0.801,0.75,0.040169,6.6875
adult,28,rf,pre,RW,-0.19,-0.056,-0.071,-0.105,-0.048,-0.051,-0.252,-0.074,-0.095,0.846,0.787,0.8,0.776,1.216629,61777.8740234375
adult,28,svm,pre,RW,-0.061,0.225,0.116,-0.072,-0.058,-0.039,-0.124,0.144,0.066,0.84,0.765,0.803,0.743,0.188883,6.5751953125
adult,28,xgb,pre,RW,-0.111,0.148,0.065,-0.092,-0.039,-0.039,-0.187,0.103,0.025,0.862,0.805,0.827,0.789,0.188269,261.31640625
adult,29,lr,pre,RW,-0.085,0.128,0.06,-0.077,-0.026,-0.022,-0.124,0.03,0.013,0.836,0.761,0.799,0.74,0.043124,6.6875
adult,29,rf,pre,RW,-0.188,-0.1,-0.09,-0.103,-0.008,-0.026,-0.234,-0.183,-0.137,0.845,0.783,0.805,0.768,1.211592,61600.2177734375
adult,29,svm,pre,RW,-0.066,0.178,0.09,-0.07,0.003,-0.007,-0.108,0.09,0.047,0.834,0.755,0.8,0.732,0.453339,6.5751953125
adult,29,xgb,pre,RW,-0.123,0.063,0.02,-0.098,-0.057,-0.04,-0.17,-0.03,-0.027,0.86,0.801,0.83,0.782,0.187641,259.4599609375
adult,30,lr,pre,RW,-0.094,0.17,0.076,-0.094,-0.052,-0.043,-0.16,0.051,0.003,0.844,0.774,0.806,0.754,0.042377,6.6875
adult,30,rf,pre,RW,-0.197,-0.074,-0.08,-0.118,-0.075,-0.063,-0.259,-0.31,-0.208,0.854,0.797,0.813,0.785,1.220609,62244.7490234375
adult,30,svm,pre,RW,-0.073,0.218,0.106,-0.082,-0.018,-0.024,-0.138,0.11,0.039,0.841,0.766,0.806,0.744,0.193002,6.5751953125
adult,30,xgb,pre,RW,-0.122,0.102,0.039,-0.086,-0.001,-0.013,-0.19,-0.104,-0.075,0.866,0.809,0.839,0.79,0.188029,249.89453125
