dataset,iteration,model,type,sol_name,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
fpes,11,svm,Baseline,Baseline,-0.498,0.067,-0.029,-0.498,0.067,-0.029,0.944,0.944,0.944,0.944,0.001615,1.4189453125
fpes,11,xgb,Baseline,Baseline,-0.498,0.0,0.0,-0.498,0.0,0.0,1.0,1.0,1.0,1.0,0.036618,73.173828125
fpes,12,lr,Baseline,Baseline,-0.238,0.0,0.0,-0.238,0.0,0.0,1.0,1.0,1.0,1.0,0.003461,1.5400390625
fpes,12,rf,Baseline,Baseline,-0.286,0.0,-0.056,-0.286,0.0,-0.056,0.972,0.972,0.972,0.974,0.041173,139.6572265625
fpes,12,svm,Baseline,Baseline,-0.238,0.0,0.0,-0.238,0.0,0.0,1.0,1.0,1.0,1.0,0.00174,1.4189453125
fpes,12,xgb,Baseline,Baseline,-0.238,0.0,0.0,-0.238,0.0,0.0,1.0,1.0,1.0,1.0,0.026729,73.173828125
fpes,13,lr,Baseline,Baseline,-0.286,-0.095,-0.048,-0.286,-0.095,-0.048,0.944,0.944,0.944,0.95,0.00366,1.5400390625
fpes,13,rf,Baseline,Baseline,-0.267,0.0,0.0,-0.267,0.0,0.0,1.0,1.0,1.0,1.0,0.049999,126.6357421875
fpes,13,svm,Baseline,Baseline,-0.267,0.0,0.0,-0.267,0.0,0.0,1.0,1.0,1.0,1.0,0.002819,1.4189453125
fpes,13,xgb,Baseline,Baseline,-0.267,0.0,0.0,-0.267,0.0,0.0,1.0,1.0,1.0,1.0,0.035452,73.171875
fpes,14,lr,Baseline,Baseline,-0.226,0.154,0.077,-0.226,0.154,0.077,0.944,0.944,0.947,0.947,0.003562,1.5400390625
fpes,14,rf,Baseline,Baseline,-0.331,0.0,0.0,-0.331,0.0,0.0,1.0,1.0,1.0,1.0,0.050333,144.8515625
fpes,14,svm,Baseline,Baseline,-0.279,0.077,0.038,-0.279,0.077,0.038,0.972,0.972,0.972,0.974,0.002592,1.4189453125
fpes,14,xgb,Baseline,Baseline,-0.331,0.0,0.0,-0.331,0.0,0.0,1.0,1.0,1.0,1.0,0.024499,73.171875
fpes,15,lr,Baseline,Baseline,-0.171,0.077,0.038,-0.171,0.077,0.038,0.972,0.972,0.972,0.974,0.003487,1.5400390625
fpes,15,rf,Baseline,Baseline,-0.219,0.0,0.0,-0.219,0.0,0.0,1.0,1.0,1.0,1.0,0.050957,128.2158203125
fpes,15,svm,Baseline,Baseline,-0.105,0.077,0.094,-0.105,0.077,0.094,0.944,0.944,0.944,0.944,0.003029,1.4189453125
fpes,15,xgb,Baseline,Baseline,-0.171,0.077,0.038,-0.171,0.077,0.038,0.972,0.972,0.972,0.974,0.0383,73.171875
fpes,16,lr,Baseline,Baseline,-0.403,0.077,0.038,-0.403,0.077,0.038,0.972,0.971,0.977,0.967,0.003652,1.5400390625
fpes,16,rf,Baseline,Baseline,-0.403,0.077,0.038,-0.403,0.077,0.038,0.972,0.971,0.977,0.967,0.044092,149.232421875
fpes,16,svm,Baseline,Baseline,-0.403,0.077,0.038,-0.403,0.077,0.038,0.972,0.971,0.977,0.967,0.002175,1.4189453125
fpes,16,xgb,Baseline,Baseline,-0.403,0.077,0.038,-0.403,0.077,0.038,0.972,0.971,0.977,0.967,0.03525,73.158203125
fpes,17,lr,Baseline,Baseline,0.056,0.0,0.005,0.056,0.0,0.005,0.944,0.944,0.941,0.952,0.003741,1.5400390625
fpes,17,rf,Baseline,Baseline,0.056,0.0,0.0,0.056,0.0,0.0,1.0,1.0,1.0,1.0,0.050989,129.3212890625
fpes,17,svm,Baseline,Baseline,0.056,0.0,0.005,0.056,0.0,0.005,0.944,0.944,0.941,0.952,0.001569,1.4189453125
fpes,17,xgb,Baseline,Baseline,0.056,0.0,0.0,0.056,0.0,0.0,1.0,1.0,1.0,1.0,0.037356,73.158203125
fpes,18,lr,Baseline,Baseline,-0.224,0.0,0.006,-0.224,0.0,0.006,0.944,0.944,0.947,0.947,0.003669,1.5400390625
fpes,18,rf,Baseline,Baseline,-0.258,0.0,0.0,-0.258,0.0,0.0,1.0,1.0,1.0,1.0,0.044055,128.8671875
fpes,18,svm,Baseline,Baseline,-0.181,0.0,0.056,-0.181,0.0,0.056,0.972,0.972,0.972,0.974,0.001564,1.4189453125
fpes,18,xgb,Baseline,Baseline,-0.258,0.0,0.0,-0.258,0.0,0.0,1.0,1.0,1.0,1.0,0.039567,73.173828125
fpes,19,lr,Baseline,Baseline,-0.286,0.0,-0.056,-0.286,0.0,-0.056,0.972,0.972,0.972,0.974,0.003585,1.5400390625
fpes,19,rf,Baseline,Baseline,-0.238,0.0,0.0,-0.238,0.0,0.0,1.0,1.0,1.0,1.0,0.05286,150.3173828125
fpes,19,svm,Baseline,Baseline,-0.238,0.0,0.0,-0.238,0.0,0.0,1.0,1.0,1.0,1.0,0.002576,1.4189453125
fpes,19,xgb,Baseline,Baseline,-0.238,0.0,0.0,-0.238,0.0,0.0,1.0,1.0,1.0,1.0,0.023714,73.173828125
fpes,20,lr,Baseline,Baseline,-0.445,0.077,0.038,-0.445,0.077,0.038,0.972,0.97,0.978,0.964,0.003557,1.5400390625
fpes,20,rf,Baseline,Baseline,-0.488,0.0,0.0,-0.488,0.0,0.0,1.0,1.0,1.0,1.0,0.051483,145.9248046875
fpes,20,svm,Baseline,Baseline,-0.445,0.077,0.038,-0.445,0.077,0.038,0.972,0.97,0.978,0.964,0.001869,1.4189453125
fpes,20,xgb,Baseline,Baseline,-0.488,0.0,0.0,-0.488,0.0,0.0,1.0,1.0,1.0,1.0,0.034979,73.171875
fpes,21,lr,Baseline,Baseline,-0.167,0.0,0.0,-0.167,0.0,0.0,1.0,1.0,1.0,1.0,0.003459,1.5400390625
fpes,21,rf,Baseline,Baseline,-0.167,0.0,0.0,-0.167,0.0,0.0,1.0,1.0,1.0,1.0,0.043083,145.6328125
fpes,21,svm,Baseline,Baseline,-0.167,0.0,0.0,-0.167,0.0,0.0,1.0,1.0,1.0,1.0,0.002065,1.4189453125
fpes,21,xgb,Baseline,Baseline,-0.167,0.0,0.0,-0.167,0.0,0.0,1.0,1.0,1.0,1.0,0.037087,73.171875
fpes,22,lr,Baseline,Baseline,-0.124,0.0,0.0,-0.124,0.0,0.0,1.0,1.0,1.0,1.0,0.003609,1.5400390625
fpes,22,rf,Baseline,Baseline,-0.124,0.0,0.0,-0.124,0.0,0.0,1.0,1.0,1.0,1.0,0.0528,133.7197265625
