dataset,iteration,model,type,sol_name,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
bank-full,11,xgb,Baseline,Baseline,0.148,0.055,0.069,0.148,0.055,0.069,0.909,0.759,0.783,0.74,0.183671,331.669921875
bank-full,12,lr,Baseline,Baseline,0.088,0.061,0.042,0.088,0.061,0.042,0.9,0.692,0.78,0.654,0.022921,3.576171875
bank-full,12,rf,Baseline,Baseline,0.15,0.177,0.114,0.15,0.177,0.114,0.905,0.716,0.792,0.678,1.870166,50264.10546875
bank-full,12,svm,Baseline,Baseline,0.08,0.089,0.049,0.08,0.089,0.049,0.9,0.675,0.786,0.636,0.080936,3.455078125
bank-full,12,xgb,Baseline,Baseline,0.127,0.039,0.046,0.127,0.039,0.046,0.907,0.749,0.783,0.724,0.179785,331.47265625
bank-full,13,lr,Baseline,Baseline,0.117,0.089,0.068,0.117,0.089,0.068,0.905,0.71,0.792,0.671,0.023617,3.576171875
bank-full,13,rf,Baseline,Baseline,0.111,0.045,0.048,0.111,0.045,0.048,0.906,0.72,0.791,0.683,1.841715,49908.48046875
bank-full,13,svm,Baseline,Baseline,0.091,0.045,0.043,0.091,0.045,0.043,0.902,0.685,0.792,0.644,0.093669,3.455078125
bank-full,13,xgb,Baseline,Baseline,0.149,0.012,0.053,0.149,0.012,0.053,0.907,0.75,0.78,0.728,0.178453,338.845703125
bank-full,14,lr,Baseline,Baseline,0.133,0.203,0.114,0.133,0.203,0.114,0.899,0.703,0.776,0.667,0.023124,3.576171875
bank-full,14,rf,Baseline,Baseline,0.122,0.114,0.074,0.122,0.114,0.074,0.902,0.723,0.786,0.688,1.888721,49632.54296875
bank-full,14,svm,Baseline,Baseline,0.103,0.12,0.072,0.103,0.12,0.072,0.898,0.685,0.787,0.646,0.101467,3.455078125
bank-full,14,xgb,Baseline,Baseline,0.182,0.215,0.137,0.182,0.215,0.137,0.903,0.748,0.777,0.726,0.183925,324.7646484375
bank-full,15,lr,Baseline,Baseline,0.146,0.169,0.109,0.146,0.169,0.109,0.902,0.705,0.79,0.667,0.023471,3.576171875
bank-full,15,rf,Baseline,Baseline,0.132,0.033,0.054,0.132,0.033,0.054,0.905,0.723,0.795,0.685,1.855579,50039.10546875
bank-full,15,svm,Baseline,Baseline,0.124,0.159,0.095,0.124,0.159,0.095,0.902,0.69,0.801,0.648,0.093107,3.455078125
bank-full,15,xgb,Baseline,Baseline,0.197,0.132,0.12,0.197,0.132,0.12,0.903,0.745,0.776,0.722,0.186049,333.529296875
bank-full,16,lr,Baseline,Baseline,0.101,0.167,0.098,0.101,0.167,0.098,0.905,0.703,0.781,0.666,0.024038,3.576171875
bank-full,16,rf,Baseline,Baseline,0.063,-0.003,0.011,0.063,-0.003,0.011,0.905,0.717,0.778,0.683,1.855996,50020.51171875
bank-full,16,svm,Baseline,Baseline,0.086,0.125,0.077,0.086,0.125,0.077,0.904,0.684,0.787,0.644,0.087511,3.455078125
bank-full,16,xgb,Baseline,Baseline,0.11,0.023,0.043,0.11,0.023,0.043,0.908,0.754,0.776,0.736,0.186674,332.4052734375
bank-full,17,lr,Baseline,Baseline,0.109,0.063,0.059,0.109,0.063,0.059,0.899,0.695,0.787,0.657,0.024448,3.576171875
