dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
compas,10,rf,Baseline,Baseline,0.084,0.043,0.045,0.147,0.147,0.123,0.135,0.034,0.062,0.639,0.63,0.631,0.629,0.168931,13439.0087890625
compas,10,svm,Baseline,Baseline,0.221,0.222,0.187,0.201,0.191,0.17,0.316,0.351,0.28,0.671,0.662,0.664,0.661,0.006239,1.3828125
compas,10,xgb,Baseline,Baseline,0.172,0.149,0.133,0.189,0.184,0.16,0.278,0.271,0.229,0.666,0.654,0.659,0.653,0.119874,242.1884765625
compas,11,lr,Baseline,Baseline,0.214,0.197,0.176,0.16,0.176,0.138,0.29,0.254,0.238,0.682,0.674,0.679,0.673,0.005278,1.50390625
compas,11,rf,Baseline,Baseline,0.105,0.085,0.072,0.108,0.115,0.089,0.099,0.085,0.061,0.651,0.643,0.646,0.642,0.176296,13437.6025390625
compas,11,svm,Baseline,Baseline,0.214,0.199,0.176,0.162,0.169,0.139,0.295,0.254,0.242,0.684,0.676,0.68,0.675,0.006055,1.3828125
compas,11,xgb,Baseline,Baseline,0.172,0.152,0.137,0.169,0.165,0.147,0.27,0.232,0.225,0.662,0.654,0.658,0.653,0.123539,244.0546875
compas,12,lr,Baseline,Baseline,0.24,0.243,0.213,0.162,0.143,0.125,0.324,0.315,0.271,0.679,0.672,0.675,0.672,0.004944,1.50390625
compas,12,rf,Baseline,Baseline,0.142,0.12,0.114,0.147,0.136,0.117,0.211,0.165,0.156,0.653,0.644,0.65,0.644,0.174368,13487.4462890625
compas,12,svm,Baseline,Baseline,0.232,0.235,0.204,0.158,0.133,0.12,0.312,0.291,0.255,0.682,0.676,0.679,0.675,0.005586,1.3828125
compas,12,xgb,Baseline,Baseline,0.218,0.228,0.195,0.188,0.16,0.155,0.303,0.262,0.248,0.661,0.652,0.657,0.652,0.126026,275.859375
compas,13,lr,Baseline,Baseline,0.215,0.213,0.171,0.135,0.144,0.1,0.281,0.259,0.213,0.691,0.684,0.695,0.685,0.005154,1.50390625
compas,13,rf,Baseline,Baseline,0.107,0.069,0.065,0.111,0.118,0.084,0.138,0.069,0.073,0.647,0.638,0.648,0.639,0.17566,13526.3525390625
compas,13,svm,Baseline,Baseline,0.205,0.208,0.161,0.138,0.137,0.101,0.282,0.258,0.214,0.69,0.683,0.693,0.684,0.006024,1.3828125
compas,13,xgb,Baseline,Baseline,0.141,0.096,0.094,0.133,0.141,0.104,0.21,0.159,0.145,0.664,0.654,0.667,0.656,0.13384,228.9052734375
compas,14,lr,Baseline,Baseline,0.215,0.194,0.181,0.185,0.223,0.165,0.324,0.389,0.301,0.671,0.66,0.666,0.659,0.005168,1.50390625
compas,14,rf,Baseline,Baseline,0.124,0.077,0.085,0.111,0.111,0.085,0.12,0.093,0.076,0.667,0.656,0.662,0.655,0.175251,13471.5087890625
compas,14,svm,Baseline,Baseline,0.205,0.18,0.17,0.186,0.22,0.165,0.316,0.372,0.29,0.673,0.662,0.668,0.661,0.005948,1.3828125
compas,14,xgb,Baseline,Baseline,0.172,0.137,0.134,0.159,0.169,0.135,0.218,0.187,0.172,0.67,0.659,0.665,0.658,0.122729,276.65625
compas,15,lr,Baseline,Baseline,0.237,0.252,0.214,0.218,0.206,0.191,0.393,0.437,0.368,0.684,0.678,0.681,0.677,0.005152,1.50390625
compas,15,rf,Baseline,Baseline,0.185,0.167,0.163,0.181,0.163,0.159,0.297,0.254,0.264,0.642,0.638,0.638,0.638,0.178496,13277.6025390625
compas,15,svm,Baseline,Baseline,0.231,0.242,0.208,0.213,0.198,0.184,0.38,0.41,0.352,0.687,0.681,0.685,0.68,0.006227,1.3828125
compas,15,xgb,Baseline,Baseline,0.195,0.21,0.175,0.211,0.19,0.186,0.316,0.328,0.29,0.665,0.657,0.662,0.657,0.140161,250.82421875
compas,16,lr,Baseline,Baseline,0.228,0.284,0.211,0.158,0.158,0.127,0.3,0.347,0.268,0.687,0.68,0.686,0.679,0.00521,1.50390625
compas,16,rf,Baseline,Baseline,0.119,0.132,0.102,0.093,0.082,0.069,0.15,0.102,0.112,0.634,0.627,0.63,0.627,0.164271,13357.4462890625
compas,16,svm,Baseline,Baseline,0.229,0.287,0.212,0.158,0.161,0.127,0.301,0.35,0.269,0.687,0.681,0.687,0.68,0.003029,1.3828125
compas,16,xgb,Baseline,Baseline,0.132,0.136,0.109,0.157,0.114,0.124,0.195,0.129,0.149,0.668,0.66,0.668,0.66,0.136441,248.236328125
compas,17,lr,Baseline,Baseline,0.248,0.271,0.224,0.15,0.173,0.126,0.337,0.403,0.31,0.687,0.682,0.687,0.681,0.005172,1.50390625
compas,17,rf,Baseline,Baseline,0.16,0.174,0.141,0.144,0.146,0.123,0.235,0.23,0.203,0.646,0.64,0.644,0.64,0.174296,13344.4775390625
compas,17,svm,Baseline,Baseline,0.244,0.263,0.219,0.15,0.172,0.125,0.34,0.407,0.312,0.689,0.684,0.688,0.683,0.005981,1.3828125
compas,17,xgb,Baseline,Baseline,0.191,0.172,0.164,0.18,0.192,0.157,0.314,0.31,0.279,0.668,0.661,0.668,0.661,0.132735,218.548828125
compas,18,lr,Baseline,Baseline,0.2,0.193,0.168,0.211,0.227,0.196,0.342,0.396,0.318,0.685,0.678,0.681,0.677,0.004917,1.50390625
compas,18,rf,Baseline,Baseline,0.102,0.092,0.078,0.143,0.176,0.135,0.132,0.136,0.105,0.634,0.625,0.628,0.624,0.179393,13311.0400390625
compas,18,svm,Baseline,Baseline,0.197,0.18,0.162,0.212,0.227,0.197,0.342,0.396,0.318,0.686,0.679,0.682,0.678,0.00497,1.3828125
compas,18,xgb,Baseline,Baseline,0.13,0.073,0.09,0.196,0.221,0.183,0.229,0.187,0.186,0.672,0.663,0.667,0.663,0.137686,227.3818359375
compas,19,lr,Baseline,Baseline,0.247,0.299,0.228,0.167,0.17,0.146,0.341,0.377,0.309,0.679,0.672,0.676,0.671,0.004928,1.50390625
compas,19,rf,Baseline,Baseline,0.145,0.172,0.126,0.087,0.067,0.065,0.121,0.048,0.069,0.654,0.647,0.649,0.646,0.180159,13402.7587890625
compas,19,svm,Baseline,Baseline,0.234,0.281,0.215,0.168,0.162,0.145,0.331,0.353,0.296,0.678,0.671,0.675,0.67,0.005564,1.3828125
compas,19,xgb,Baseline,Baseline,0.165,0.161,0.137,0.104,0.067,0.078,0.192,0.09,0.132,0.673,0.664,0.67,0.663,0.131115,229.6376953125
compas,20,lr,Baseline,Baseline,0.257,0.273,0.234,0.171,0.229,0.156,0.359,0.461,0.344,0.663,0.654,0.659,0.653,0.005032,1.50390625
compas,20,rf,Baseline,Baseline,0.122,0.085,0.091,0.124,0.13,0.105,0.174,0.105,0.123,0.643,0.633,0.638,0.633,0.178914,13428.6962890625
compas,20,svm,Baseline,Baseline,0.25,0.258,0.225,0.167,0.211,0.15,0.352,0.422,0.329,0.662,0.654,0.658,0.653,0.006028,1.3828125
compas,20,xgb,Baseline,Baseline,0.22,0.234,0.198,0.176,0.207,0.159,0.297,0.327,0.267,0.653,0.643,0.648,0.643,0.134063,244.3173828125
compas,21,lr,Baseline,Baseline,0.22,0.25,0.198,0.172,0.187,0.149,0.315,0.377,0.288,0.688,0.679,0.683,0.678,0.005179,1.50390625
compas,21,rf,Baseline,Baseline,0.184,0.162,0.156,0.164,0.2,0.149,0.246,0.242,0.211,0.66,0.649,0.654,0.648,0.174527,13542.1337890625
compas,21,svm,Baseline,Baseline,0.226,0.257,0.204,0.179,0.19,0.156,0.323,0.385,0.297,0.689,0.681,0.684,0.679,0.005881,1.3828125
compas,21,xgb,Baseline,Baseline,0.17,0.153,0.142,0.189,0.203,0.17,0.27,0.241,0.229,0.663,0.652,0.658,0.651,0.135788,256.736328125
compas,22,lr,Baseline,Baseline,0.241,0.249,0.21,0.2,0.215,0.183,0.387,0.476,0.371,0.68,0.672,0.676,0.671,0.005069,1.50390625
compas,22,rf,Baseline,Baseline,0.165,0.14,0.134,0.139,0.125,0.122,0.277,0.238,0.241,0.64,0.632,0.634,0.632,0.173476,13303.6962890625
compas,22,svm,Baseline,Baseline,0.243,0.255,0.213,0.203,0.216,0.186,0.388,0.476,0.372,0.679,0.671,0.675,0.67,0.006266,1.3828125
compas,22,xgb,Baseline,Baseline,0.225,0.181,0.187,0.223,0.203,0.204,0.377,0.358,0.345,0.659,0.651,0.654,0.65,0.142214,227.7109375
compas,23,lr,Baseline,Baseline,0.226,0.259,0.204,0.181,0.214,0.164,0.314,0.391,0.294,0.677,0.669,0.671,0.668,0.005206,1.50390625
compas,23,rf,Baseline,Baseline,0.151,0.114,0.118,0.15,0.18,0.136,0.219,0.187,0.179,0.656,0.647,0.65,0.646,0.177902,13385.8837890625
compas,23,svm,Baseline,Baseline,0.22,0.241,0.196,0.185,0.212,0.168,0.307,0.371,0.285,0.678,0.67,0.672,0.669,0.005775,1.3828125
compas,23,xgb,Baseline,Baseline,0.162,0.159,0.134,0.197,0.18,0.174,0.26,0.236,0.221,0.673,0.662,0.666,0.661,0.135486,232.625
compas,24,lr,Baseline,Baseline,0.244,0.263,0.216,0.16,0.158,0.131,0.308,0.293,0.26,0.683,0.678,0.678,0.677,0.005035,1.50390625
compas,24,rf,Baseline,Baseline,0.152,0.111,0.12,0.097,0.092,0.074,0.154,0.055,0.097,0.643,0.636,0.638,0.635,0.178501,13224.9462890625
compas,24,svm,Baseline,Baseline,0.234,0.241,0.205,0.158,0.15,0.129,0.297,0.266,0.247,0.681,0.675,0.676,0.675,0.006027,1.3828125
compas,24,xgb,Baseline,Baseline,0.206,0.205,0.177,0.152,0.125,0.121,0.243,0.18,0.19,0.67,0.661,0.665,0.661,0.131743,206.859375
compas,25,lr,Baseline,Baseline,0.196,0.222,0.173,0.173,0.198,0.159,0.32,0.387,0.301,0.679,0.669,0.673,0.667,0.005015,1.50390625
compas,25,rf,Baseline,Baseline,0.138,0.146,0.116,0.147,0.159,0.135,0.233,0.243,0.207,0.65,0.639,0.642,0.639,0.1777,13489.3212890625
compas,25,svm,Baseline,Baseline,0.198,0.213,0.173,0.175,0.19,0.16,0.324,0.379,0.302,0.682,0.672,0.676,0.671,0.005992,1.3828125
compas,25,xgb,Baseline,Baseline,0.13,0.122,0.102,0.144,0.138,0.127,0.234,0.252,0.208,0.668,0.657,0.662,0.656,0.137754,233.2919921875
compas,26,lr,Baseline,Baseline,0.254,0.287,0.234,0.186,0.201,0.175,0.366,0.44,0.348,0.678,0.669,0.675,0.668,0.005146,1.50390625
compas,26,rf,Baseline,Baseline,0.163,0.147,0.138,0.188,0.198,0.178,0.244,0.17,0.195,0.653,0.645,0.648,0.644,0.175275,13483.0712890625
compas,26,svm,Baseline,Baseline,0.247,0.28,0.228,0.186,0.203,0.175,0.362,0.435,0.344,0.676,0.667,0.673,0.666,0.005881,1.3828125
compas,26,xgb,Baseline,Baseline,0.196,0.179,0.169,0.211,0.218,0.2,0.324,0.307,0.287,0.666,0.658,0.662,0.658,0.136247,213.830078125
compas,27,lr,Baseline,Baseline,0.227,0.286,0.213,0.18,0.22,0.171,0.321,0.407,0.308,0.664,0.657,0.662,0.656,0.005106,1.50390625
compas,27,rf,Baseline,Baseline,0.188,0.228,0.173,0.146,0.149,0.135,0.271,0.302,0.252,0.649,0.643,0.646,0.642,0.178346,13476.0400390625
compas,27,svm,Baseline,Baseline,0.224,0.283,0.21,0.172,0.211,0.163,0.305,0.393,0.292,0.665,0.657,0.663,0.657,0.005329,1.3828125
compas,27,xgb,Baseline,Baseline,0.155,0.178,0.136,0.162,0.172,0.15,0.23,0.23,0.204,0.659,0.65,0.657,0.65,0.122099,248.7646484375
compas,28,lr,Baseline,Baseline,0.235,0.253,0.214,0.162,0.161,0.142,0.308,0.312,0.276,0.67,0.664,0.666,0.663,0.004947,1.50390625
compas,28,rf,Baseline,Baseline,0.137,0.108,0.112,0.124,0.1,0.104,0.183,0.119,0.144,0.643,0.637,0.639,0.637,0.177638,13324.3212890625
compas,28,svm,Baseline,Baseline,0.229,0.24,0.207,0.16,0.155,0.14,0.304,0.303,0.271,0.669,0.662,0.665,0.661,0.005806,1.3828125
compas,28,xgb,Baseline,Baseline,0.178,0.171,0.153,0.15,0.136,0.129,0.242,0.201,0.203,0.662,0.655,0.658,0.654,0.13821,233.6923828125
compas,29,lr,Baseline,Baseline,0.207,0.195,0.169,0.186,0.191,0.155,0.323,0.34,0.273,0.698,0.688,0.694,0.687,0.005009,1.50390625
compas,29,rf,Baseline,Baseline,0.154,0.163,0.124,0.137,0.119,0.105,0.214,0.261,0.181,0.674,0.665,0.669,0.664,0.178271,13529.3212890625
compas,29,svm,Baseline,Baseline,0.199,0.175,0.159,0.19,0.19,0.158,0.324,0.339,0.275,0.698,0.689,0.694,0.687,0.004992,1.3828125
compas,29,xgb,Baseline,Baseline,0.21,0.212,0.177,0.18,0.166,0.148,0.299,0.306,0.251,0.69,0.677,0.686,0.676,0.132252,254.7421875
compas,30,lr,Baseline,Baseline,0.22,0.192,0.183,0.218,0.234,0.192,0.36,0.366,0.314,0.675,0.668,0.672,0.668,0.005001,1.50390625
compas,30,rf,Baseline,Baseline,0.053,0.0,0.019,0.133,0.127,0.112,0.161,0.056,0.096,0.629,0.621,0.624,0.62,0.168562,13388.5400390625
compas,30,svm,Baseline,Baseline,0.214,0.191,0.178,0.218,0.233,0.192,0.357,0.364,0.31,0.676,0.67,0.673,0.669,0.005502,1.3828125
compas,30,xgb,Baseline,Baseline,0.132,0.106,0.1,0.194,0.171,0.166,0.241,0.238,0.203,0.65,0.642,0.646,0.642,0.132596,241.328125
