dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
mep,9,rf,Baseline,Baseline,-0.039,0.0,-0.008,-0.044,-0.123,-0.067,-0.087,-0.166,-0.096,0.861,0.706,0.791,0.673,0.728453,25515.8984375
mep,9,svm,Baseline,Baseline,-0.042,-0.019,-0.018,-0.03,-0.072,-0.039,-0.077,-0.144,-0.084,0.858,0.691,0.793,0.657,0.064713,2.767578125
mep,9,xgb,Baseline,Baseline,-0.063,-0.038,-0.035,-0.059,-0.138,-0.08,-0.124,-0.227,-0.141,0.854,0.715,0.758,0.69,0.15094,335.6416015625
mep,10,lr,Baseline,Baseline,-0.052,-0.033,-0.03,-0.037,-0.105,-0.056,-0.091,-0.188,-0.11,0.858,0.693,0.764,0.663,0.021885,2.888671875
mep,10,rf,Baseline,Baseline,-0.037,-0.006,-0.009,-0.035,-0.078,-0.044,-0.075,-0.108,-0.064,0.861,0.706,0.766,0.676,0.730614,25481.9921875
mep,10,svm,Baseline,Baseline,-0.046,-0.02,-0.021,-0.027,-0.09,-0.045,-0.075,-0.149,-0.085,0.859,0.689,0.77,0.658,0.067163,2.767578125
mep,10,xgb,Baseline,Baseline,-0.061,-0.033,-0.033,-0.05,-0.129,-0.073,-0.112,-0.203,-0.125,0.856,0.71,0.748,0.688,0.149862,336.5068359375
mep,11,lr,Baseline,Baseline,-0.059,-0.037,-0.034,-0.023,-0.048,-0.026,-0.083,-0.065,-0.051,0.865,0.698,0.784,0.664,0.023804,2.888671875
mep,11,rf,Baseline,Baseline,-0.049,0.016,-0.006,-0.021,-0.022,-0.014,-0.071,0.016,-0.009,0.866,0.71,0.779,0.678,0.718056,25837.9296875
mep,11,svm,Baseline,Baseline,-0.053,-0.021,-0.025,-0.012,-0.005,-0.003,-0.068,-0.022,-0.027,0.863,0.69,0.784,0.656,0.065916,2.767578125
mep,11,xgb,Baseline,Baseline,-0.065,-0.029,-0.033,-0.037,-0.053,-0.036,-0.104,-0.064,-0.06,0.856,0.709,0.746,0.687,0.155269,351.1865234375
mep,12,lr,Baseline,Baseline,-0.062,-0.07,-0.051,-0.039,-0.056,-0.035,-0.103,-0.141,-0.094,0.86,0.698,0.781,0.666,0.022233,2.888671875
mep,12,rf,Baseline,Baseline,-0.047,-0.023,-0.021,-0.047,-0.05,-0.037,-0.098,-0.104,-0.074,0.862,0.711,0.78,0.68,0.727274,25253.8671875
mep,12,svm,Baseline,Baseline,-0.051,-0.043,-0.034,-0.028,-0.025,-0.016,-0.081,-0.083,-0.058,0.86,0.69,0.786,0.656,0.06653,2.767578125
