dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,9,rf,Baseline,Baseline,-0.188,-0.138,-0.107,-0.098,-0.078,-0.062,-0.237,-0.273,-0.183,0.848,0.786,0.806,0.772,1.198366,58451.8046875
adult,9,svm,Baseline,Baseline,-0.171,-0.089,-0.079,-0.102,-0.142,-0.091,-0.223,-0.242,-0.164,0.842,0.775,0.8,0.758,0.468987,6.5869140625
adult,9,xgb,Baseline,Baseline,-0.176,-0.09,-0.073,-0.098,-0.111,-0.072,-0.227,-0.234,-0.152,0.867,0.812,0.835,0.796,0.186558,249.912109375
adult,10,lr,Baseline,Baseline,-0.185,-0.099,-0.088,-0.106,-0.113,-0.079,-0.234,-0.275,-0.183,0.849,0.783,0.808,0.766,0.047262,6.7080078125
adult,10,rf,Baseline,Baseline,-0.194,-0.09,-0.087,-0.104,-0.068,-0.059,-0.252,-0.27,-0.188,0.851,0.79,0.809,0.777,1.202069,58948.2109375
adult,10,svm,Baseline,Baseline,-0.178,-0.088,-0.08,-0.103,-0.112,-0.077,-0.226,-0.267,-0.175,0.85,0.784,0.812,0.765,0.249211,6.5869140625
adult,10,xgb,Baseline,Baseline,-0.188,-0.1,-0.081,-0.098,-0.104,-0.067,-0.231,-0.292,-0.178,0.87,0.817,0.835,0.803,0.188311,256.6171875
adult,11,lr,Baseline,Baseline,-0.188,-0.107,-0.092,-0.097,-0.066,-0.051,-0.231,-0.206,-0.15,0.849,0.788,0.81,0.772,0.041083,6.7080078125
adult,11,rf,Baseline,Baseline,-0.192,-0.103,-0.091,-0.09,-0.025,-0.029,-0.233,-0.201,-0.146,0.854,0.796,0.815,0.782,1.18793,58902.5859375
adult,11,svm,Baseline,Baseline,-0.182,-0.09,-0.082,-0.093,-0.06,-0.046,-0.225,-0.218,-0.152,0.851,0.788,0.814,0.771,0.238885,6.5869140625
adult,11,xgb,Baseline,Baseline,-0.198,-0.103,-0.088,-0.1,-0.033,-0.035,-0.241,-0.243,-0.162,0.873,0.823,0.843,0.808,0.189854,260.7353515625
adult,12,lr,Baseline,Baseline,-0.189,-0.117,-0.097,-0.105,-0.075,-0.062,-0.238,-0.196,-0.15,0.847,0.784,0.806,0.769,0.041576,6.7080078125
adult,12,rf,Baseline,Baseline,-0.186,-0.085,-0.081,-0.096,-0.052,-0.047,-0.236,-0.181,-0.141,0.847,0.786,0.804,0.773,1.165432,58622.7421875
adult,12,svm,Baseline,Baseline,-0.182,-0.1,-0.087,-0.103,-0.076,-0.061,-0.231,-0.186,-0.142,0.847,0.783,0.807,0.766,0.192235,6.5869140625
adult,12,xgb,Baseline,Baseline,-0.192,-0.114,-0.092,-0.102,-0.055,-0.05,-0.241,-0.236,-0.162,0.863,0.808,0.828,0.794,0.182924,252.16796875
adult,13,lr,Baseline,Baseline,-0.184,-0.12,-0.097,-0.097,-0.075,-0.062,-0.227,-0.165,-0.132,0.845,0.78,0.802,0.764,0.044408,6.7080078125
adult,13,rf,Baseline,Baseline,-0.18,-0.106,-0.087,-0.087,-0.028,-0.037,-0.228,-0.214,-0.153,0.851,0.789,0.81,0.774,1.167068,58363.0546875
adult,13,svm,Baseline,Baseline,-0.177,-0.101,-0.086,-0.098,-0.093,-0.07,-0.218,-0.135,-0.114,0.846,0.778,0.804,0.76,0.427846,6.5869140625
adult,13,xgb,Baseline,Baseline,-0.189,-0.134,-0.098,-0.089,-0.048,-0.043,-0.233,-0.255,-0.168,0.867,0.812,0.834,0.796,0.185242,251.7685546875
adult,14,lr,Baseline,Baseline,-0.183,-0.084,-0.078,-0.09,-0.043,-0.034,-0.224,-0.2,-0.141,0.853,0.792,0.814,0.776,0.045598,6.7080078125
adult,14,rf,Baseline,Baseline,-0.184,-0.078,-0.077,-0.102,-0.043,-0.041,-0.238,-0.225,-0.161,0.851,0.79,0.808,0.776,1.200896,59224.4609375
adult,14,svm,Baseline,Baseline,-0.175,-0.06,-0.065,-0.09,-0.056,-0.039,-0.221,-0.19,-0.136,0.853,0.791,0.815,0.773,0.194635,6.5869140625
adult,14,xgb,Baseline,Baseline,-0.192,-0.082,-0.077,-0.094,-0.016,-0.021,-0.235,-0.199,-0.141,0.87,0.818,0.837,0.803,0.185588,258.078125
adult,15,lr,Baseline,Baseline,-0.189,-0.152,-0.111,-0.102,-0.13,-0.081,-0.231,-0.231,-0.156,0.849,0.785,0.814,0.766,0.043436,6.7080078125
adult,15,rf,Baseline,Baseline,-0.199,-0.104,-0.095,-0.115,-0.103,-0.077,-0.246,-0.183,-0.142,0.848,0.791,0.808,0.778,1.187024,58268.8359375
adult,15,svm,Baseline,Baseline,-0.183,-0.147,-0.106,-0.1,-0.134,-0.082,-0.222,-0.221,-0.147,0.849,0.783,0.817,0.763,0.22971,6.5869140625
adult,15,xgb,Baseline,Baseline,-0.198,-0.106,-0.091,-0.116,-0.141,-0.091,-0.238,-0.182,-0.131,0.862,0.808,0.829,0.793,0.181836,267.111328125
adult,16,lr,Baseline,Baseline,-0.175,-0.099,-0.086,-0.105,-0.093,-0.067,-0.226,-0.203,-0.148,0.851,0.787,0.81,0.77,0.046336,6.7080078125
adult,16,rf,Baseline,Baseline,-0.178,-0.06,-0.07,-0.108,-0.104,-0.072,-0.227,-0.138,-0.119,0.851,0.79,0.807,0.777,1.20207,58906.6484375
adult,16,svm,Baseline,Baseline,-0.171,-0.088,-0.079,-0.105,-0.097,-0.069,-0.221,-0.196,-0.143,0.852,0.786,0.812,0.768,0.232139,6.5869140625
adult,16,xgb,Baseline,Baseline,-0.179,-0.106,-0.082,-0.116,-0.117,-0.078,-0.242,-0.292,-0.187,0.874,0.822,0.841,0.808,0.182745,258.0146484375
