dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
heart_disease,11,svm,Baseline,Baseline,0.244,0.101,0.117,0.244,0.101,0.117,0.868,0.868,0.869,0.868,0.003076,1.9130859375
heart_disease,11,xgb,Baseline,Baseline,0.097,-0.004,-0.022,0.097,-0.004,-0.022,0.824,0.824,0.825,0.824,0.091912,113.357421875
heart_disease,12,lr,Baseline,Baseline,0.333,0.247,0.213,0.333,0.247,0.213,0.791,0.783,0.784,0.782,0.003747,2.0341796875
heart_disease,12,rf,Baseline,Baseline,0.322,0.316,0.165,0.322,0.316,0.165,0.78,0.777,0.776,0.785,0.058477,588.169921875
heart_disease,12,svm,Baseline,Baseline,0.333,0.247,0.213,0.333,0.247,0.213,0.791,0.783,0.784,0.782,0.002909,1.9130859375
heart_disease,12,xgb,Baseline,Baseline,0.211,0.126,0.089,0.211,0.126,0.089,0.758,0.757,0.762,0.771,0.0881,110.0302734375
heart_disease,13,lr,Baseline,Baseline,0.473,0.222,0.336,0.473,0.222,0.336,0.791,0.79,0.789,0.792,0.00365,2.0341796875
heart_disease,13,rf,Baseline,Baseline,0.491,0.255,0.378,0.491,0.255,0.378,0.78,0.774,0.78,0.772,0.05718,609.2724609375
heart_disease,13,svm,Baseline,Baseline,0.473,0.222,0.336,0.473,0.222,0.336,0.791,0.79,0.789,0.792,0.003146,1.9130859375
heart_disease,13,xgb,Baseline,Baseline,0.52,0.338,0.461,0.52,0.338,0.461,0.725,0.717,0.723,0.714,0.09055,110.6953125
heart_disease,14,lr,Baseline,Baseline,0.236,0.109,0.103,0.236,0.109,0.103,0.813,0.809,0.813,0.806,0.003695,2.0341796875
heart_disease,14,rf,Baseline,Baseline,0.267,0.166,0.171,0.267,0.166,0.171,0.747,0.739,0.746,0.737,0.056919,615.6787109375
heart_disease,14,svm,Baseline,Baseline,0.236,0.109,0.103,0.236,0.109,0.103,0.813,0.809,0.813,0.806,0.003027,1.9130859375
heart_disease,14,xgb,Baseline,Baseline,0.298,0.137,0.24,0.298,0.137,0.24,0.747,0.737,0.749,0.734,0.091154,110.763671875
heart_disease,15,lr,Baseline,Baseline,0.227,0.105,0.056,0.227,0.105,0.056,0.857,0.855,0.859,0.852,0.003678,2.0341796875
heart_disease,15,rf,Baseline,Baseline,0.188,0.129,0.018,0.188,0.129,0.018,0.813,0.812,0.812,0.815,0.047623,645.2099609375
heart_disease,15,svm,Baseline,Baseline,0.227,0.105,0.056,0.227,0.105,0.056,0.857,0.855,0.859,0.852,0.003214,1.9130859375
heart_disease,15,xgb,Baseline,Baseline,0.167,0.098,-0.014,0.167,0.098,-0.014,0.835,0.833,0.834,0.832,0.097413,113.025390625
heart_disease,16,lr,Baseline,Baseline,0.179,0.133,0.11,0.179,0.133,0.11,0.802,0.802,0.802,0.805,0.003663,2.0341796875
heart_disease,16,rf,Baseline,Baseline,0.208,0.228,0.12,0.208,0.228,0.12,0.835,0.834,0.834,0.837,0.047297,593.951171875
heart_disease,16,svm,Baseline,Baseline,0.226,0.167,0.166,0.226,0.167,0.166,0.78,0.78,0.78,0.782,0.001861,1.9130859375
heart_disease,16,xgb,Baseline,Baseline,0.155,0.107,0.097,0.155,0.107,0.097,0.758,0.758,0.764,0.765,0.099115,113.4921875
heart_disease,17,lr,Baseline,Baseline,0.308,0.101,0.074,0.308,0.101,0.074,0.846,0.836,0.828,0.852,0.003651,2.0341796875
heart_disease,17,rf,Baseline,Baseline,0.282,0.071,0.059,0.282,0.071,0.059,0.835,0.825,0.818,0.844,0.062402,640.5224609375
heart_disease,17,svm,Baseline,Baseline,0.308,0.101,0.074,0.308,0.101,0.074,0.846,0.836,0.828,0.852,0.003462,1.9130859375
heart_disease,17,xgb,Baseline,Baseline,0.314,0.205,0.066,0.314,0.205,0.066,0.802,0.786,0.78,0.795,0.086455,113.6162109375
heart_disease,18,lr,Baseline,Baseline,0.371,0.15,0.22,0.371,0.15,0.22,0.802,0.8,0.802,0.799,0.003712,2.0341796875
heart_disease,18,rf,Baseline,Baseline,0.335,0.087,0.201,0.335,0.087,0.201,0.802,0.801,0.801,0.801,0.059967,627.5537109375
heart_disease,18,svm,Baseline,Baseline,0.449,0.242,0.279,0.449,0.242,0.279,0.813,0.812,0.812,0.811,0.002821,1.9130859375
heart_disease,18,xgb,Baseline,Baseline,0.293,0.087,0.162,0.293,0.087,0.162,0.769,0.766,0.769,0.765,0.095729,111.4326171875
heart_disease,19,lr,Baseline,Baseline,0.111,0.057,-0.082,0.111,0.057,-0.082,0.802,0.798,0.808,0.796,0.004029,2.0341796875
heart_disease,19,rf,Baseline,Baseline,0.128,0.16,-0.046,0.128,0.16,-0.046,0.736,0.734,0.735,0.733,0.052083,569.263671875
heart_disease,19,svm,Baseline,Baseline,0.127,0.057,-0.067,0.127,0.057,-0.067,0.813,0.81,0.817,0.808,0.001942,1.9130859375
heart_disease,19,xgb,Baseline,Baseline,0.127,0.086,-0.028,0.127,0.086,-0.028,0.747,0.743,0.749,0.741,0.085125,106.837890625
heart_disease,20,lr,Baseline,Baseline,0.338,0.049,0.12,0.338,0.049,0.12,0.835,0.835,0.841,0.839,0.004045,2.0341796875
heart_disease,20,rf,Baseline,Baseline,0.367,0.185,0.088,0.367,0.185,0.088,0.835,0.835,0.838,0.838,0.059719,648.3349609375
heart_disease,20,svm,Baseline,Baseline,0.338,0.049,0.12,0.338,0.049,0.12,0.835,0.835,0.841,0.839,0.003116,1.9130859375
heart_disease,20,xgb,Baseline,Baseline,0.214,0.049,-0.104,0.214,0.049,-0.104,0.835,0.835,0.841,0.839,0.103273,116.0185546875
heart_disease,21,lr,Baseline,Baseline,0.226,0.139,0.047,0.226,0.139,0.047,0.758,0.756,0.757,0.755,0.003787,2.0341796875
heart_disease,21,rf,Baseline,Baseline,0.291,0.192,0.041,0.291,0.192,0.041,0.846,0.844,0.849,0.842,0.058259,607.8662109375
heart_disease,21,svm,Baseline,Baseline,0.26,0.139,0.077,0.26,0.139,0.077,0.78,0.779,0.779,0.779,0.001782,1.9130859375
heart_disease,21,xgb,Baseline,Baseline,0.34,0.231,0.123,0.34,0.231,0.123,0.824,0.822,0.827,0.82,0.081356,110.7646484375
heart_disease,22,lr,Baseline,Baseline,0.358,0.045,0.17,0.358,0.045,0.17,0.846,0.846,0.866,0.855,0.003831,2.0341796875
heart_disease,22,rf,Baseline,Baseline,0.291,0.041,0.105,0.291,0.041,0.105,0.824,0.824,0.837,0.832,0.059422,607.8662109375
heart_disease,22,svm,Baseline,Baseline,0.358,0.045,0.17,0.358,0.045,0.17,0.846,0.846,0.866,0.855,0.001883,1.9130859375
heart_disease,22,xgb,Baseline,Baseline,0.225,-0.009,0.054,0.225,-0.009,0.054,0.791,0.791,0.806,0.799,0.090639,111.4931640625
heart_disease,23,lr,Baseline,Baseline,0.308,0.121,0.167,0.308,0.121,0.167,0.846,0.842,0.845,0.84,0.003912,2.0341796875
heart_disease,23,rf,Baseline,Baseline,0.258,0.109,0.099,0.258,0.109,0.099,0.835,0.832,0.831,0.833,0.056955,633.9599609375
heart_disease,23,svm,Baseline,Baseline,0.325,0.155,0.184,0.325,0.155,0.184,0.835,0.831,0.832,0.83,0.003069,1.9130859375
heart_disease,23,xgb,Baseline,Baseline,0.258,0.142,0.13,0.258,0.142,0.13,0.78,0.774,0.777,0.772,0.103974,113.623046875
heart_disease,24,lr,Baseline,Baseline,0.35,0.152,0.181,0.35,0.152,0.181,0.758,0.758,0.759,0.76,0.003678,2.0341796875
heart_disease,24,rf,Baseline,Baseline,0.414,0.214,0.199,0.414,0.214,0.199,0.802,0.8,0.802,0.799,0.060218,587.857421875
heart_disease,24,svm,Baseline,Baseline,0.35,0.152,0.181,0.35,0.152,0.181,0.758,0.758,0.759,0.76,0.003538,1.9130859375
heart_disease,24,xgb,Baseline,Baseline,0.352,0.057,0.207,0.352,0.057,0.207,0.802,0.798,0.808,0.796,0.086663,108.43359375
