dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,9,xgb,in,GF,-0.152,-0.112,-0.085,-0.09,-0.135,-0.084,-0.195,-0.256,-0.164,0.832,0.748,0.796,0.724,0.207274,293.01171875
adult,10,lr,in,GF,-0.156,-0.092,-0.077,-0.099,-0.148,-0.092,-0.202,-0.265,-0.17,0.837,0.754,0.803,0.729,0.039219,6.6748046875
adult,10,rf,in,GF,-0.151,-0.113,-0.084,-0.08,-0.127,-0.074,-0.183,-0.248,-0.153,0.834,0.747,0.801,0.721,0.86549,16619.072265625
adult,10,svm,in,GF,-0.157,-0.096,-0.078,-0.098,-0.141,-0.089,-0.203,-0.268,-0.171,0.838,0.755,0.804,0.731,0.764931,6.5771484375
adult,10,xgb,in,GF,-0.153,-0.106,-0.082,-0.091,-0.135,-0.083,-0.194,-0.235,-0.152,0.836,0.752,0.803,0.726,0.204174,282.6513671875
adult,11,lr,in,GF,-0.161,-0.115,-0.088,-0.084,-0.072,-0.049,-0.195,-0.203,-0.137,0.838,0.759,0.805,0.735,0.036989,6.6748046875
adult,11,rf,in,GF,-0.159,-0.159,-0.108,-0.074,-0.075,-0.046,-0.188,-0.28,-0.17,0.834,0.748,0.803,0.722,0.891987,16450.009765625
adult,11,svm,in,GF,-0.161,-0.113,-0.087,-0.082,-0.065,-0.046,-0.192,-0.186,-0.127,0.839,0.761,0.806,0.737,1.023701,6.5771484375
adult,11,xgb,in,GF,-0.163,-0.116,-0.09,-0.078,-0.053,-0.039,-0.189,-0.16,-0.114,0.837,0.758,0.804,0.734,0.198042,279.0625
adult,12,lr,in,GF,-0.166,-0.124,-0.094,-0.088,-0.091,-0.062,-0.206,-0.184,-0.133,0.838,0.76,0.802,0.737,0.036194,6.6748046875
adult,12,rf,in,GF,-0.159,-0.148,-0.103,-0.07,-0.062,-0.041,-0.185,-0.155,-0.111,0.836,0.752,0.808,0.726,0.85584,16938.759765625
adult,12,svm,in,GF,-0.166,-0.119,-0.092,-0.086,-0.083,-0.057,-0.203,-0.164,-0.123,0.838,0.76,0.802,0.737,0.885158,6.5771484375
adult,12,xgb,in,GF,-0.159,-0.121,-0.09,-0.08,-0.08,-0.053,-0.191,-0.128,-0.101,0.837,0.756,0.805,0.731,0.199663,281.6552734375
adult,13,lr,in,GF,-0.154,-0.12,-0.088,-0.089,-0.111,-0.075,-0.194,-0.197,-0.137,0.834,0.75,0.798,0.725,0.035752,6.6748046875
adult,13,rf,in,GF,-0.149,-0.156,-0.104,-0.074,-0.11,-0.067,-0.181,-0.226,-0.146,0.827,0.734,0.791,0.709,0.859531,15924.697265625
adult,13,svm,in,GF,-0.154,-0.109,-0.084,-0.088,-0.109,-0.073,-0.194,-0.198,-0.138,0.834,0.75,0.797,0.727,0.678649,6.5771484375
adult,13,xgb,in,GF,-0.154,-0.128,-0.093,-0.083,-0.082,-0.06,-0.19,-0.148,-0.114,0.833,0.747,0.798,0.722,0.192722,277.8046875
adult,14,lr,in,GF,-0.158,-0.091,-0.076,-0.086,-0.095,-0.057,-0.196,-0.184,-0.128,0.84,0.761,0.805,0.738,0.037272,6.6748046875
adult,14,rf,in,GF,-0.149,-0.101,-0.079,-0.08,-0.103,-0.06,-0.181,-0.212,-0.136,0.834,0.747,0.801,0.721,0.866387,17042.197265625
adult,14,svm,in,GF,-0.159,-0.092,-0.077,-0.086,-0.096,-0.058,-0.198,-0.185,-0.129,0.84,0.761,0.805,0.738,0.744799,6.5771484375
adult,14,xgb,in,GF,-0.151,-0.077,-0.068,-0.085,-0.09,-0.056,-0.189,-0.187,-0.127,0.838,0.756,0.805,0.731,0.193295,277.8017578125
adult,15,lr,in,GF,-0.157,-0.139,-0.095,-0.093,-0.164,-0.094,-0.194,-0.247,-0.153,0.836,0.755,0.81,0.729,0.03711,6.6748046875
adult,15,rf,in,GF,-0.155,-0.155,-0.103,-0.086,-0.159,-0.088,-0.182,-0.23,-0.141,0.833,0.747,0.806,0.721,0.846801,16528.291015625
adult,15,svm,in,GF,-0.156,-0.132,-0.092,-0.089,-0.157,-0.088,-0.19,-0.248,-0.151,0.836,0.755,0.808,0.73,0.768118,6.5771484375
adult,15,xgb,in,GF,-0.158,-0.145,-0.099,-0.088,-0.154,-0.087,-0.188,-0.218,-0.137,0.835,0.753,0.808,0.727,0.204082,281.5224609375
adult,16,lr,in,GF,-0.153,-0.114,-0.088,-0.099,-0.141,-0.087,-0.196,-0.224,-0.15,0.837,0.755,0.799,0.731,0.035126,6.6748046875
adult,16,rf,in,GF,-0.151,-0.143,-0.1,-0.087,-0.121,-0.073,-0.19,-0.244,-0.157,0.837,0.749,0.804,0.723,0.857499,16442.041015625
adult,16,svm,in,GF,-0.153,-0.11,-0.086,-0.097,-0.132,-0.082,-0.197,-0.224,-0.15,0.837,0.754,0.798,0.731,0.737805,6.5771484375
adult,16,xgb,in,GF,-0.151,-0.114,-0.087,-0.096,-0.115,-0.076,-0.195,-0.193,-0.136,0.836,0.752,0.8,0.728,0.198584,280.0595703125
adult,17,lr,in,GF,-0.155,-0.106,-0.084,-0.087,-0.072,-0.058,-0.197,-0.203,-0.141,0.833,0.749,0.791,0.726,0.038901,6.6748046875
adult,17,rf,in,GF,-0.15,-0.101,-0.081,-0.073,-0.045,-0.04,-0.186,-0.18,-0.126,0.831,0.742,0.792,0.718,0.862473,16702.041015625
adult,17,svm,in,GF,-0.155,-0.104,-0.083,-0.087,-0.071,-0.057,-0.197,-0.206,-0.142,0.834,0.75,0.791,0.728,0.841904,6.5771484375
adult,17,xgb,in,GF,-0.156,-0.105,-0.085,-0.08,-0.049,-0.045,-0.199,-0.226,-0.153,0.835,0.75,0.796,0.727,0.204206,287.365234375
adult,18,lr,in,GF,-0.148,-0.048,-0.054,-0.092,-0.106,-0.07,-0.189,-0.118,-0.095,0.829,0.746,0.792,0.722,0.035503,6.6748046875
adult,18,rf,in,GF,-0.139,-0.049,-0.051,-0.083,-0.089,-0.059,-0.17,-0.043,-0.052,0.827,0.739,0.793,0.715,0.859845,16158.447265625
adult,18,svm,in,GF,-0.148,-0.043,-0.052,-0.09,-0.098,-0.066,-0.19,-0.118,-0.096,0.829,0.746,0.792,0.723,0.606195,6.576171875
adult,18,xgb,in,GF,-0.147,-0.066,-0.061,-0.086,-0.087,-0.059,-0.182,-0.064,-0.066,0.83,0.747,0.795,0.723,0.195239,280.72265625
adult,19,lr,in,GF,-0.156,-0.108,-0.085,-0.095,-0.136,-0.081,-0.2,-0.162,-0.118,0.836,0.749,0.801,0.723,0.036998,6.6748046875
adult,19,rf,in,GF,-0.153,-0.136,-0.098,-0.084,-0.142,-0.078,-0.187,-0.238,-0.15,0.831,0.737,0.797,0.71,0.876625,16183.134765625
